run,arm,tag,pool,u,d_model,n_layers,d_ff,lr,wd,fork_step,decay,step,epoch,tokens,annealed,val_ce,hs_bpb,logs
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,353,1.001,92536832,0,5.689,1.704,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,706,2.001,185073664,0,4.805,1.419,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,1059,3.002,277610496,0,4.315,1.271,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,1412,4.003,370147328,0,4.139,1.212,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,1764,5.001,462422016,0,4.073,1.187,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,2118,6.004,555220992,0,4.073,1.184,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,2471,7.005,647757824,0,4.117,1.191,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,2824,8.006,740294656,0,4.234,1.224,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,3177,9.007,832831488,0,4.431,1.274,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,3529,10.004,925106176,0,4.746,1.361,3466864_6.out
cosine_ep16_lr1e-2_wd0.1,cosine_ep16,,dclm-100m-train,92469693,2048,16,8192,1e-2,0.1,,5648,3883,11.008,1017905152,0,5.213,1.502,3466864_6.out
