run,step,split,layer,metric,value
p5_smoke_n16_j3349138,40,train,-1,churn_rate,0.9218301773071289
p5_smoke_n16_j3349138,40,train,-1,margin_p10,0.8422927260398865
p5_smoke_n16_j3349138,40,train,-1,margin_mean,0.9405090808868408
p5_smoke_n16_j3349138,40,heldout,-1,churn_rate,0.9160165786743164
p5_smoke_n16_j3349138,40,heldout,-1,margin_p10,0.8508198261260986
p5_smoke_n16_j3349138,40,train,-1,topk_jaccard,0.34369128942489624
p5_smoke_n16_j3349138,40,heldout,-1,margin_mean,0.9398894906044006
p5_smoke_n16_j3349138,40,train,-1,max_load_frac,0.1242380142211914
p5_smoke_n16_j3349138,40,heldout,-1,topk_jaccard,0.3410034477710724
p5_smoke_n16_j3349138,40,train,-1,top1_agreement,0.0781698226928711
p5_smoke_n16_j3349138,40,heldout,-1,max_load_frac,0.12446200847625732
p5_smoke_n16_j3349138,40,heldout,-1,top1_agreement,0.0839834213256836
p5_smoke_n16_j3349138,40,train,-1,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,train,-1,entropy_marginal,0.11047102510929108
p5_smoke_n16_j3349138,40,train,-1,effective_experts,1.6390680074691772
p5_smoke_n16_j3349138,40,heldout,-1,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,heldout,-1,entropy_marginal,0.10649851709604263
p5_smoke_n16_j3349138,40,train,0,margin_p10,0.08826079964637756
p5_smoke_n16_j3349138,40,train,1,margin_p10,0.5076708793640137
p5_smoke_n16_j3349138,40,train,2,margin_p10,0.41674697399139404
p5_smoke_n16_j3349138,40,train,3,margin_p10,0.4653237462043762
p5_smoke_n16_j3349138,40,train,4,margin_p10,0.9999999403953552
p5_smoke_n16_j3349138,40,train,5,margin_p10,0.9986811876296997
p5_smoke_n16_j3349138,40,train,6,margin_p10,1
p5_smoke_n16_j3349138,40,train,7,margin_p10,1
p5_smoke_n16_j3349138,40,train,8,margin_p10,1
p5_smoke_n16_j3349138,40,train,9,margin_p10,1
p5_smoke_n16_j3349138,40,train,10,margin_p10,1
p5_smoke_n16_j3349138,40,train,11,margin_p10,1
p5_smoke_n16_j3349138,40,train,12,margin_p10,1
p5_smoke_n16_j3349138,40,train,13,margin_p10,1
p5_smoke_n16_j3349138,40,train,14,margin_p10,1
p5_smoke_n16_j3349138,40,train,15,margin_p10,1
p5_smoke_n16_j3349138,40,train,-1,mutual_information,0.07572849839925766
p5_smoke_n16_j3349138,40,heldout,-1,effective_experts,1.6058812141418457
p5_smoke_n16_j3349138,40,train,-1,entropy_conditional,0.034742530435323715
p5_smoke_n16_j3349138,40,train,0,margin_mean,0.5207168459892273
p5_smoke_n16_j3349138,40,train,1,margin_mean,0.8372299671173096
p5_smoke_n16_j3349138,40,train,2,margin_mean,0.8452831506729126
p5_smoke_n16_j3349138,40,train,3,margin_mean,0.8641872406005859
p5_smoke_n16_j3349138,40,train,4,margin_mean,0.9999988079071045
p5_smoke_n16_j3349138,40,train,5,margin_mean,0.9807296991348267
p5_smoke_n16_j3349138,40,train,6,margin_mean,1
p5_smoke_n16_j3349138,40,train,7,margin_mean,1
p5_smoke_n16_j3349138,40,train,8,margin_mean,1
p5_smoke_n16_j3349138,40,train,9,margin_mean,1
p5_smoke_n16_j3349138,40,train,10,margin_mean,1
p5_smoke_n16_j3349138,40,train,11,margin_mean,1
p5_smoke_n16_j3349138,40,train,12,margin_mean,1
p5_smoke_n16_j3349138,40,train,13,margin_mean,1
p5_smoke_n16_j3349138,40,train,14,margin_mean,1
p5_smoke_n16_j3349138,40,train,15,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,0,margin_p10,0.08597174286842346
